ID Progetto,File,Indirizzo,Imprese,Valore Stimato
450163,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via F.lli Cairoli  61034 Fossombrone ( PU ),Gaspari Gabriele srl,2038000
450211,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",V.le Matteotti  60010 Ostra ( AN ),Capogruppo ATI; Tecnotetto srl,3082000
450470,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Fr.Lido  55041 Camaiore ( LU ),Edil DR di Dati & Razzuoli snc,700000
450774,LOMBARDIA X FEDE,C.so di Porta Vittoria 27  20122 Milano ( MI ),Imprendo Italia srl,19104000
450932,"PIEMONTE, LIGURIA, VENETO (1)",Via Nuova  10048 Vinovo ( TO ),Capogruppo ATI; Consorzio San Luca srl; integrato,5786000
450949,LOMBARDIA X FEDE,Via Schiappadori  46035 Ostiglia ( MN ),Pavoni SpA,1483000
450965,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via della Repubblica  52011 Bibbiena ( AR ),Impresa Bene dott. Antonio srl,1859000
451236,LOMBARDIA X FEDE,Via Garibaldi 28  20851 Lissone ( MB ),CAMECA srl,1115000
451336,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Isole Eolie  58022 Follonica ( GR ),Restauri & Costruzioni srl,4600000
451383,"PIEMONTE, LIGURIA, VENETO (1)",via Nizza  10152 Torino ( TO ),Cogefa SpA,60000000
451585,"PIEMONTE, LIGURIA, VENETO (1)",Via Corradini 89  36016 Thiene ( VI ),Capogruppo ATI; Edilrestauri srl; Techne SpA,3604000
451747,LOMBARDIA X FEDE,V.le Jenner 24  20158 Milano ( MI ),De Martino Costruzioni srl,4000000
451770,LOMBARDIA X FEDE,Via Passerini 13  20162 Milano ( MI ),Edilvit srl,
452180,LOMBARDIA X FEDE,P.zza IV Novembre  20053 Rodano ( MI ),Capogruppo ATI; Consorzio Stabile Costruendo srl; De Rose Service srl,4366000
452249,LOMBARDIA X FEDE,Via Ciotti  25018 Montichiari ( BS ),TF Costruzioni srl,3143000
452512,LOMBARDIA X FEDE,Via Dossolo  25085 Gavardo ( BS ),Petrarca srl,4574000
452679,LOMBARDIA X FEDE,C.so Argentina  27029 Vigevano ( PV ),CL Costruzioni srl,1500000
452821,LOMBARDIA X FEDE,Via Viarana  20842 Besana in Brianza ( MB ),Multi Manutenzione srl,855000
452991,LOMBARDIA X FEDE,Via Ferrari 62  46045 Marmirolo ( MN ),Geco srl,602000
453271,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Emilia  40064 Ozzano dell'Emilia ( BO ),Futura Costruzioni srl,10000000
453462,"PIEMONTE, LIGURIA, VENETO (1)",Via Moretti 8  31044 Montebelluna ( TV ),Vilnai srl,
454237,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",via Matteotti  41039 San Possidonio ( MO ),Emiliana Scavi srl,5000000
454307,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via S.Eufemia 25  41121 Modena ( MO ),AEC Costruzioni srl,
454717,"PIEMONTE, LIGURIA, VENETO (1)",P.za Europa  12100 Cuneo ( CN ),Barra Costruzioni srl,3000000
454757,LOMBARDIA X FEDE,Via Manzoni  25086 Rezzato ( BS ),Capogruppo ATI; Foresti Distribuzione Laterizi srl,4117000
454794,LOMBARDIA X FEDE,P.za Trento  20135 Milano ( MI ),CMB Coop Muratori e Braccianti di Carpi srl; Colombo Costruzioni SpA,50000000
455195,"PIEMONTE, LIGURIA, VENETO (1)",C.so Canonico Giuseppe Allamano  10095 Grugliasco ( TO ),G Service srl,2700000
455231,"PIEMONTE, LIGURIA, VENETO (1)",Summaga di Portogruaro  30026 Portogruaro ( VE ),Mengato snc,20000000
455246,"TRENTINO, FRIULI, EMILIA, TOSCVANA, MARCHE ",Via Liberazione  29010 Cadeo ( PC ),Capogruppo ATI; Cella Gaetano srl,2538000
