Blocco,Ordine,ID Progetto,Indirizzo,Impresa,Tempo cumulato (s)
1,79,534158,Loc. Via Claudio Rossi  35028 Piove di Sacco ( PD ),Eurocostruzioni srl,137115
1,80,521922,V.lo G. Visentin  35020 Albignasego ( PD ),Valverde Imm.re srl,139016
1,81,459540,Via Cavour  35020 Ponte San Nicolò ( PD ),Galiazzo Fratelli Costruzioni srl,141045
1,82,525281,Via Turchia  35030 Selvazzano Dentro ( PD ),Coeb Costruzioni srl,143252
1,83,537876,Loc. Montecchia - v.lo Collodi  35030 Saccolongo ( PD ),ASA Costruzioni Padova srl,144813
1,84,527864,Via Molini  35030 Saccolongo ( PD ),Fm srls,146417
1,85,526737,Via Caduti di Nassyria snc  35035 Mestrino ( PD ),Costruzioni Zanta Silvano Srl,147992
1,86,540922,Via Caduti di Nassyria   35035 Mestrino ( PD ),Costruzioni Mestrino srl; assegnato,149192
1,87,534851,via Miacche  35030 Rubano ( PD ),EB Costruzioni srl,150703
1,88,510093,Via De Gasperi  35030 Rubano ( PD ),Tiemme Costruzioni Edili SpA,151994
1,89,529059,Via Sandro Pertini 9  35030 Rubano ( PD ),Costruzioni Gamma 4 srl; assegnato,153426
1,90,525291,"Via Cardinale Borromeo, 82  35030 Rubano ( PD )",Vega srl,154661
1,91,521926,Via Dante  35030 Selvazzano Dentro ( PD ),Cedri Immobiliare srl,156116
1,92,534242,Via Monti 7  35030 Selvazzano Dentro ( PD ),Bosco Costruzioni srl,157442
1,93,525345,Via San Leopoldo Mandic  35012 Camposampiero ( PD ),Immobiliare Rialto srl,160430
1,94,533675,Via Castello 6  35032 Arquà Petrarca ( PD ),Edilcromo Srl; aggiudicato all'impresa segnalata che ha offerto il ribasso del; assegnato,162086
1,95,535705,Via San Bortolo  35043 Monselice ( PD ),Battistella Costruzioni srl,164050
1,96,523874,P.za Martiri della Libertà 6  35020 Tribano ( PD ),Battistella Costruzioni srl,165748
1,97,536733,via Borgofuro snc  35042 Este ( PD ),Tecnocostruzioni  Group; assegnato,167901
