Blocco,Ordine,ID Progetto,Indirizzo,Impresa,Tempo cumulato (s),Parte,Link Google Maps,Ultima,Descrizione
1,22,534672,Fr. Fiera  31100 Treviso ( TV ),Tesser Costruzioni srl,40603,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,23,521195,Via Bianchi  31021 Mogliano Veneto ( TV ),Finmac srl,42764,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,24,464989,Via Tinto  30174 Venezia ( VE ),Suninvest SpA,44569,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,25,500955,Q.re. San Liberale  31100 Treviso ( TV ),Capogruppo ATI; Ecis Global srl; Mini Costruzioni Srl,46468,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,26,363618,Sestiere Dorsoduro 2209  30123 Venezia ( VE ),Errico Costruzioni srl,49406,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,27,507834,Via Arco di Giano  35129 Padova ( PD ),Industrie Edili SpA,52565,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,28,535483,loc. Mortise  35129 Padova ( PD ),San Lorenzo Invest srl,53993,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,29,527825,Via Orlandini 10  35131 Padova ( PD ),Ruffato Mario srl,55527,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",ultima azienda da visitare,
1,30,528372,via Pescarotto  35131 Padova ( PD ),CEV SpA,56766,3,"=HYPERLINK(""https://www.google.com/maps/dir/45.6971092%2C12.2608561/45.6619779%2C12.2695878/45.5762861%2C12.2451871/45.5107111%2C12.2447528/45.5494774%2C12.3366256/45.4343206%2C12.3258343/45.4226426%2C11.9159623/45.4229999%2C11.9062735/45.4166199%2C11.8966671/45.4148438%2C11.8971935"", ""Blocco 1 Parte 3"")",,
1,31,529262,Via Turazza  35128 Padova ( PD ),Ballan Costruzioni srl,58209,4,"=HYPERLINK(""https://www.google.com/maps/dir/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748/45.4542321%2C11.9013505"", ""Blocco 1 Parte 4"")",,
1,32,540351,Via Cassan  35121 Padova ( PD ),Bassetto Costruzioni srl; Pesce Costruzioni srl,59870,4,"=HYPERLINK(""https://www.google.com/maps/dir/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748/45.4542321%2C11.9013505"", ""Blocco 1 Parte 4"")",,
1,33,519031,Via degli Zabarella  35121 Padova ( PD ),Carron SpA,61679,4,"=HYPERLINK(""https://www.google.com/maps/dir/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748/45.4542321%2C11.9013505"", ""Blocco 1 Parte 4"")",,
1,34,443862,Via T.Aspetti 259  35134 Padova ( PD ),Cons. Stabile Conpat scarl; GeDi Group SpA; Taddei Spa,63729,4,"=HYPERLINK(""https://www.google.com/maps/dir/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748/45.4542321%2C11.9013505"", ""Blocco 1 Parte 4"")",,
1,35,523358,Via Moretto da Brescia   35134 Padova ( PD ),Unyon Consorzio Stabile scarl,65057,4,"=HYPERLINK(""https://www.google.com/maps/dir/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748/45.4542321%2C11.9013505"", ""Blocco 1 Parte 4"")",,
1,36,371374,Via del Giglio  35100 Padova ( PD ),San Lorenzo Invest srl,66522,4,"=HYPERLINK(""https://www.google.com/maps/dir/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748/45.4542321%2C11.9013505"", ""Blocco 1 Parte 4"")",,
1,37,534241,Via Sarpi 130  35138 Padova ( PD ),Bosco Costruzioni srl,68137,4,"=HYPERLINK(""https://www.google.com/maps/dir/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748/45.4542321%2C11.9013505"", ""Blocco 1 Parte 4"")",,
1,38,528520,Via San Giovanni di Verdara  35020 Padova ( PD ),Rosso srl; integrato,69621,4,"=HYPERLINK(""https://www.google.com/maps/dir/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748/45.4542321%2C11.9013505"", ""Blocco 1 Parte 4"")",,
1,39,523909,Via Roma 25  35010 Vigodarzere ( PD ),Sicom Srl,71730,4,"=HYPERLINK(""https://www.google.com/maps/dir/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748/45.4542321%2C11.9013505"", ""Blocco 1 Parte 4"")",,
1,40,514439,fr. Mejaniga  35010 Cadoneghe ( PD ),Furlan Costruzioni srl,73075,4,"=HYPERLINK(""https://www.google.com/maps/dir/45.4078548%2C11.90821/45.4094223%2C11.8801858/45.4074091%2C11.879131/45.4297674%2C11.8880823/45.4334827%2C11.8890065/45.4365789%2C11.882154/45.4179278%2C11.8661518/45.4153583%2C11.8707347/45.45227089999999%2C11.889748/45.4542321%2C11.9013505"", ""Blocco 1 Parte 4"")",,
1,41,459540,Via Cavour  35020 Ponte San Nicolò ( PD ),Galiazzo Fratelli Costruzioni srl,75267,5,"=HYPERLINK(""https://www.google.com/maps/dir/45.3640416%2C11.9099118/45.3616573%2C11.9374784/45.3497754%2C11.8819131/45.3458096%2C11.8721954/45.3496869%2C11.847716/45.3369134%2C11.9034182/45.3139501%2C11.9481531/45.2901419%2C12.0275577/45.3035289%2C12.0352019/45.2922868%2C12.0345921"", ""Blocco 1 Parte 5"")",,
