ID Progetto,File,Indirizzo,Imprese,Latitudine,Longitudine
542206,Veneto senza verona e vicenza,Via Garibaldi  31053 Pieve di Soligo ( TV ),De Biasi Costruzioni snc,45.9014921,12.1716702
542242,emilia romagna,Via Scarlatti   44042 Cento ( FE ),Edilsamos srl; assegnato,44.7290421,11.2795061
542275,PIEMONTE,Str. Perosi   28100 Novara ( NO ),Nuova Edil Pernate srl; assegnato,45.4190568,8.6134648
542429,Veneto senza verona e vicenza,Via Castellari  31023 Resana ( TV ),Domus 21 srl; assegnato,45.6329168,11.9530062
542466,PIEMONTE,via G. Matteotti 112/bis  28857 Santa Maria Maggiore ( VB ),(nominativo al momento non dichiarato); assegnato,46.1337219,8.4706349
542609,emilia romagna,V.le delle Americhe  48122 Ravenna ( RA ),Gruppo Ritmo srl,44.4445779,12.2891309
542713,emilia romagna,Via Fabrizio de André  43015 Noceto ( PR ),(nominativo al momento non dichiarato); assegnato,44.794894,10.1708668
542719,emilia romagna,Via Andrea Borri   43022 Montechiarugolo ( PR ),Arcadue Immobiliare srl; assegnato,44.7278513,10.4033128
542770,emilia romagna,Via Papa Giovanni Paolo II   41018 San Cesario sul Panaro ( MO ),Ghirlandina Buildings srl; assegnato,44.5606049,11.0399837
542944,Veneto senza verona e vicenza,Via Falcone e Borsellino   31053 Pieve di Soligo ( TV ),(nominativo al momento non dichiarato),45.8956498,12.1708525
543154,PIEMONTE,Via Oulx  10050 Sauze d'Oulx ( TO ),Santo Stefano Costruzioni srl; assegnato,45.0258042,6.8499779
