integrato aggiudicato all'impresa
ASA Costruzioni Padova srl
Coeb Costruzioni srl
Impresa Edile Artigiana Fratelli Carlet
Immobiliare Metro' srl
Archidea Costruzioni srl
Rosso srl
Costruzioni Mestrino srl
Varesco srl
Domus Factory srl
Veneto Strutture srl
Pesce Costruzioni srl
aggiudicato all'impresa segnalata che ha offerto
Tognetto srl
aggiudicato all'impresa segnalata che ha offerto il
Ruffato Mario srl
Zennaro Costruzioni Srl
Gas Costruzioni srl
Martini Costruzioni Edili
Tecnocostruzioni  Group
Stivanello Immobiliare sas di Stivanello Giorgio & C.
Edilco SpA
Secis srl
Martini Costruzioni Generali srl
EB Costruzioni srl
Costruzioni Alberti & Dal Molin srl
Bassetto Costruzioni srl
Immobiliare Stemarc sas
Suninvest SpA
Rigon Costruzioni Edili srl
BME immobiliare srl
Valverde Imm.re srl
Finmac srl
Carli Costruzioni srl
ITI Impresa Generale SpA
Impresa Edile Tosatto Mauro
Tesser Costruzioni srl
Edilcostruzioni di Callegaro & Zuffellato srl
Torresan snc di Torresan Giacomo
GWA di Aldrighetti Giacomino
Veneta Costruzioni srl
Poltronieri Natalino
Impresa di costruzioni Geom. Giovanni Carlo Basso
Battaglia Costruzioni snc
Costruzioni Dalla Libera srl
Costruzioni Edili F.Lli Scattolin Di Dino & Luciano
Dicataldo Sabino
Evelin Costruzioni
Setten Genesio SpA
Edilmarco srl
Sina Impianti srl
Ediltreviso srl
ESA Impianti snc di Soldani Giuilio
Caltran Giovanni Battista srl
Sitecna Srl
Terna Costruzioni srl
Galli srl
Bazza Real Estate srl
Bosco Costruzioni srl
DNA Costruzioni Edili srls
Ricci SpA
integrato aggiudicato alle imprese segnalate riunite
IFM SpA Italiana Facility Management
Piergio' Costruzioni Immobiliari srl
Muraro Costruzioni srl
Cappellari Costruzioni srl
Scapin Costruzioni srl
Bicos srl
ISI Industria Serramenti Italiana Srl
TSB srl
Impresa Edile Cobepri
Edilmarchi srl
Limes srl
Edilnord - Edilcostruzioni Nord srl
integrato e misto aggiudicato alle imprese segnalate riunite in ATI.
Getinge Italia srl
DS Medica Tecnologie srl
Siemens Healthcare Srl
Beni Immobiliari srl
Alfredo Cecchini Srl
Gruppo ECF SpA
Immobiliare Rialto srl
Bodio H srl
Fim Group srl
Santini Costruzioni
Edilcos Costruzioni srl
Edil Ciemme srl
Terranova srl
Edilbaraldo srl
Ballan Costruzioni srl
Brenta Lavori srl
Renco SpA
Errico Costruzioni srl
Bau Sistem srl
Immobiliare Barison Srl
New Costruzioni srl
Aquarius Immobiliare srl
CF Costruzioni Edili srl
Costruzioni Zanta Silvano Srl
Tre srl
AHSI SpA
Fullservice Srl
aggiudicato all'impresa segnalata che ha offerto il ribasso del
Edilcromo Srl
Rb Costruzioni srl
integrato aggiudicato alle imprese segnalate riunite in ATI.
Sogedico srl
Erre Costruzioni srl
aggiudicato all'impresa segnalata che ha offerto il ribasso del 6%.
Atheste Costruzioni srl
Sicom Srl
Summa Costruzioni Generali srl
Lasa F.lli Nata srl
Padoan Costruzioni Generali srl
aggiudicato alle imprese segnalata
Trentin & Franzoso
LG Costruzioni srl
Lavoro srl
Immobiliare Regina srl
Rossi Mauro srl
MACO Group srl
Sarmar SpA
Fm srls
"aggiudicato all'impresa segnalata che ha offerto il ribasso del 4,6%."
Franco Lavina Costruzioni srl
Gruppo Outset
Prearo Costruzioni
Siram SpA
CMB Coop.Muratori e Braccianti di Carpi srl
Gelmini Cav. Nello SpA
Coopservice Soc.coop.p.A.
Arcoservizi SpA
Stone srl
Milan Luigi srl
Barzon Costruzioni Generali
Gifer srl
Unyon Consorzio Stabile scarl
Nettuno Suites srl
Ruffo Costruzioni srl
Consorzio Stabile Artemide
Veco Costruzioni srl
Eusebia srl
RAM Costruzioni srl
Infratech Consorzio Stabile scarl
CNP Energia SpA
Ferro Costruzioni Generali
Negrin srl
Panizzo srl
Immobiliare San Bonaventura srl
DR3 Costruzioni srl
Eurocostruzioni srl
Ber F srl
Frizzarin Carlo srl
Edile Abbadesse srl
Osanni srl
Edilcalmasino
Impresa Edile Luna srl
Consorzio Stabile Pedron Costruzioni Generali
Furlan Costruzioni srl
DF Costruzioni di Ferrari Diego sas
Sicea srl
Consorzio Stabile Imprese Padovane
Fratelli Fontana srl
Immobiliare Edile Marcon
Ferraro Marcello Imm.re
Tena srl
GSE Gestione Servizi Edilizia srl
Trilem srl
Edil Crema snc
Eurosaf srl
Immobiliare Carmignano srl
Impresa Rigo srl
Anna sas di Fonsato Impianti
Edilarea Costruzioni srls
Immobiliare Silio snc
Costruzioni Gamma 4 srl
Vega srl
Edilvi SpA
Edilchiara Costruzioni
Faggion Costruzioni
Rino Fracca Srl
Manchera srl
Gruppo Anselmi Saf Srl
Laiti Costruzioni snc di Laiti Giovanni & C.
5D Costruzioni srl
Karma sas di Tommasin Claudio
Elettro TC srl
Suardi SpA
Kubika srl
ASA Costruzioni
EdilCervia di Salvaro Angelo e F.lli snc
Impresa Edile Immobiliare Barche srl
Vittadello SpA
Toffalini Group srl
GVG SpA
CDC Immobiliare srl
Eurimbar srl
New Building srl
Gruppo Leonardo Caltagirone
Ruggiero Telecomunicazioni & Energia Srl
SDM srl
RVM Impianti srl
Aria Verde srl
IRI Impianti srl
MC Costruzioni srl
Devero Costruzioni SpA
Gruppo Koni srl
Malegori Servizi srl
aggiudicato a favore della
CreaMi srl
Paladino Costruzioni srl
Gruppo Immobiliare Dallagrassa
Futura Costruzioni srl
Valsecchi Costruzioni srl
Gruppo Eden srls Edilizia Energetica
Aircom srl
Casearroli srl
D'Andrea Costruzioni srl
Nici Costruzioni di Nici Giuseppe
3F Costruzioni srl
CRS Impianti e Costruzioni SpA
Bonzi SpA
aggiudicato a favore
Impresa Edile FAC srl
SALC SpA Società Appalti Lavori e Costruzioni
Arcos 93 srl
Tyche Building
Gardenia srl
Quality House srl
FP Costruzioni srl
Impresa Fontana Luigi srl
Impresa Spolti snc
aggiudicato a seguito di
Sial Impianti srl
Galvani Costruzioni srl
Edilizia Zapparoli srl
Impresa Costruzioni Geom Ghidelli
Curti Impresa Edile srl
Edil Due srl
Edil Live Costruzioni srl
Cogefa SpA
Impresa Vulcano srl
Impresa Edile Ventura Cristoforo srl
Koliba srl
BMB Costruzioni srl
Di Vincenzo Dino & C SpA DVC
Constructora San Josè sa
Go Fit Life Science and Technology sa
Timberr House
Contessa Giulio srl
GLG c/o Meridiana srl
Paris dei F.lli Paris srl
Magico Imm.re srl
Progeco srl
Giambelli SpA
Noldem SpA
TG Costruzioni di Torriani Giovanni
Aram srl
Edil Verga 90 srl
Vismara srl
Albini e Castelli srl
Vi Case srl
Repol srl
Edil Rosa di Rosa Vincenzo
SADA Taglio Cemento srl
Bragagnolo Costruzioni srl
Consorzio Nazionale Coop.Produzione Lavoro Ciro
aggiudicato a favore dell'impresa indicata. Ribasso
Appalti Costruzioni srl
De Novara Costruzioni srl
Mp Costruzioni di Menoni Mario
De Marchi Danilo Costruzioni srl
Urbania Spa
F.lli Foresti snc di Foresti Giuseppe e  C.
Battaglia Impianti srl
Living Brianza Costruzioni srl
New Edil srl
Hana srl
Sala Costruzioni
Mido Costruzioni srl
Varenna Costruzioni srl
Impredes srl
Idroclima di Quinzanini srl
Guffanti SpA
CIDEE Elettra di Damato Francesco
Climaterm srl
Smed Group srl
PMM srl
Edil Service srl
Teicos UE srl
Gieffe srl
Zaniboni Eugenio Costruzioni srl
Libruma Costruzioni srl
Cobar SpA - Costruzioni Barozzi
Edilvit srl
Ferretti Casa SpA
Orso srl
Residenza la Torre srl
Ediltecno Restauri srl
Edilgamma Costruzioni Generali srl
Gava Immobiliare srl
Cipiemme srl
Edilsole Immobiliare srl
aggiudicato a favore dell'impresa indicata. Previsti
Notarimpresa SpA
Rubner Haus SpA
Costruire srl
Cazzaniga Costruzioni Civili ed Industriali srl
Edil Armata e C sas
Sistema Costruzioni srl
I Rododendri srl
Reald srl
GKSD Edile SpA
Sant'Ilario Società Cooperativa Edilizia
Gervasoni Bruno srl
D'aniello Scavi e Costruzioni
Zigliani Danio
Guadrini srl
RIAL Costruzioni di Rigoli Giosuè
Villa Costruzioni
Replas Costruzioni srl
Duemme Costruzioni srl
Caiabono srl
Gruppo Cogifer SpA
Elleterm Energy srl
Impresa Ielmini Felice srl
Forcella Costruzioni srl
Gherardi Costruzioni srls
LTL Labortatorio Tecnologico Lombardo srl
ABP Nocivelli SpA
Pavoni SpA
Immobiliare Si.Gi. srl
Spataro srl
SCS società cooperativa
Cm Costruzioni di Contesini Paolo e Morandi
CAES Cons Artigiano Edile Sicilia
Gencantieri SpA
aggiudicato a seguito di procedura negoziata senza
Ghisetti Costruzioni srl
ACG Costruzioni di Marca Giacomo
Girelli Costruzioni srl
Giardelli Costruzioni SpA
Bonazzoli Costruzioni srl
Chizzoli Andrea
Fata Capital srl
aggiudicato a seguito di procedura negoziata per
Edil Taccone srl
CMB Coop Muratori e Braccianti di Carpi srl
Edilbig Costruzioni srl
Echo srl
aggiudicato a seguito di procedura negoziata.
Blue Re srl
Rivetti Angiolino
AG Abitare Green srl
Geoide Project and Contract srl
DP Costruzioni srl
Impresa Edile Prevenzano Nicola e Bulfaro Egidio
aggiudicato mediante procedura
Benis Costruzioni srl
Immobiliare Parco Village srl
Geda Immobili srl
Bergum Immobili SpA
F.lli Bernasconi snc
Techne SpA
Edilart srl
ICR srl
Svi srl
Impresa Edili Bonalumi
Santamargherita srl
Verghouse srl
Immobiliare Danilo srl
Femm srl
Barra Costruzioni srl
Futura srl
GM Costruzioni srl
Lakimm srl
RT Costruzioni srl
Pegaso srl
AEP Attività Edilizie Pavesi SpA
Lucchini Costruzioni srl
GA Enne Costruzioni srl
Edilvalbusa srl
CN Costruzioni Edili srl
PR Edil Group srl
Mazzucchi Costruzioni srl
Idro Termo Cremasca srl
GE Homes
Gruppo Building SpA
Lindi & F.lli srl
Gemmo SpA
Costruzioni Edili Caputo
Redal Costruzioni srl
Azimut srl
Impresa Ravelli srl
Intesa Costruzioni srl
Geo Project srl
Alpha Costruzioni srl
Impresa Foti srl
INC2 - Imm.re Nova Cladue srl
Impresa Edile Piantanida Luca e Scalese Maurizio
KF Costruzioni
RCM Restauro Consolidamento Manutenzione srl
Impresa Percassi SpA
Gruppo HCM
MG Costruzioni Edili srl
Sama Costruzioni srl
SAMI srl
AZ Impresa Edile
Palaser srl
Consorzio Stabile SIS Scpa
Leonardo Costruzioni srl
S.Abba srl
Nozza Francesco
Spedil srl
Meti srl
Tecno 2 Costruzioni
Rm Casa srl
Costruzioni Zambelli srl
Baratella Simone Devis
Impresa Edile Vicini Cosimo
Edilor SpA
Fratus Edile srl
EDILGI di Gusmeroli Luigi srl
CREAMI srl
Meridionale Impianti SpA
integrato aggiudicato a seguito di sottoscrizione di accordo quadro.
Gianni Benvenuto SpA
COEDIL Costruzioni Generali SpA
aggiudicato a seguito di sottoscrizione
Primitalia Real Estate srl
Abbruscato Costruzioni srl
BSN COSTRUZIONI SRL
Edilpan srl
Masceracom srl
Falco Costruzioni srl
RMS Servizi srl
AFIB srl
Locatelli & Ragazzo SpA
Ancona Benedetto srl
C Group Engineering srl
Domus Service Co srl
Borio Mangiarotti SpA
MDG Immobiliare srl
Roncelli Group srl
Ongari Costruzioni srl
Essegi srl
Ingrao sas di Ingrao Matteo & C.
Proedil Costruzioni srl
IDC Costruzioni srl
Giama Immobiliare srl
Aurea Costruzioni srl
ATI srl
Impresa Edile Fratelli Faletra
Real Italy Cons.Stabile scarl
La Nuova Napoli scarl
Sistec srl
Ba.Ia srl
Paki Edil srl
Nord Costruzioni srl
Viola Costruzioni srls
AeC Costruzioni srl
Edil-Eco srl
Pagotto Alfredo Servizi srl
IMG srl
SAAG srl
EB2 srl
Impresa Edile Ferro Gaetano
Sartedil snc di Sartorio Livio & C
Termotecnica Sebina srl
Maghini Alberto
CMC Cooperativa Muratori e Cementisti
Delta Ecopolis Soc Coop
MSC Generali srl
aggiudicato a seguito
Impresa edile Eredi Pezzotti Giacomo snc
ICR Impianti e Costruzioni srl
CME Consorzio Imprenditori Edili s.coop.
Impresa Edile Costruzioni Sassella srl
Radaelli Costruzioni srl
Previtali & Vitali
Reccagni Costruzioni srl
Impresa Botta sas di Marco Botta e C.
Green Coop Società Cooperativa Edilizia
GiMaCo Costruzioni srl
Edil Lama Costruzioni srl
Bonfadini Costruzioni srl
Dala Costruzioni srl
Ledi Tani srl
Sinergica SpA
Lauria Impianti srl
Vesoli Francesco srl
Safa srl
Sula Costruzioni srl
Cogeb srl
Bramante Immobiliare srl
Murè Costruzioni srl
La Fenice Immobiliare
Aseco srl
Coprima srl
Giuppi srl
GMG Centro Edile srl
EdilGrande srl
Edilcomfort srl Unipersonale
FL Costruzioni srl
Leghi Luigi srl
Gielle Costruzioni srl
Kronos srl
Multi Manutenzione srl
Attività Edilizie Bergamasche srl
Costruzioni 700 srls
Vitruvius & Partners srl
Artedil di Campennì Rocco & C srl
Vitralux srl
Atzwanger SpA
Obrist srl
Erdbau srl
Dinamos s.coop.rl
Dalle Nogare Costruzioni srl
Edil Nicoletti Costruzioni srl
Moser Bau srl
Rainer Bau GmbH
De Vigili Imm.re srl
SEOB srl
Elpo srl
Unionbau SpA
Schmidhammer srl
Kargruber - Stoll srl
Rainerbau
Armalam srl
Frommer srl
Cermis srl
Trento Due srl
Zima Costruzioni srl
Impresa Costruzioni Tollot srl
Collini Lavori SpA
Postal Ivano srl
Kostruire srl
Impresa Bailoni Marco & C.snc
Enrico Rigotti Costruzioni
Conci Costruzioni Srl
Mastria Costruzioni srl
Rialty srls
Bauunternehmen Latsch GmbH
Costruzioni Angelini srl
Luzzi Adelmo & C. snc
Mak Costruzioni srl
Angelini Remo & C srl
Franceschini Paolo srl
Habitat SpA Impresa Costruzioni
Edilia srl
TDL Costruzioni srl
Dalbon Costruzioni srl
Pretti & Scalfi SpA
Bertolini Ocea Impianti srl
DEGA di Gasperini Miriam & C sas
Mastropasqua Costruzioni srl
AP Elettrica snc di Alberto Pecoraro e C.
Termoidraulica Parotto Vittorino srl
Euro Scavi srl
Edilnova Cles srl
Carlini Costruzioni
Concaverde Costruzioni sas
Holzbau Brida srl
Wipptaler Bau SpA
Edilvalorzi srl
Costruzioni Michela
Debiasi Costruzioni srl
Otto srl
Pojer Enzo & C.snc Impresa Costruzioni
Spazio Positivo
Lageder Bau GmbH
Clera Group
CLB Cooperativa Lavoro Brione
Consorzio Lavoro Ambiente
Gamma Scavi e Costruzioni
Teoca Costruzioni srl
Volcan Severino e Figli srl
Edilferretti srl
Casedil srl
Se Cos Due srl
Rs Iniziative srl
Brugger Christian & C.
Baumaenner srl
Bertelli Costruzioni SpA
Amato Costruzioni srl
Past Costruzioni srl
CEC srl
Edilnord Costruzioni srl
Fratelli Bottano srl
Roveta Costruzioni
Lisa & Lombardo Costruzioni Generali srl
Quintino Costruzioni SpA
Santo Stefano Costruzioni srl
Domus sas
Fiammengo Federico srl
Barchi Costruzioni srl
Nderjaku Ervis Impresa Edile
La Torre srl
RICT Tauro sas di arch. Locandieri Marina e C.
Consorzio San Luca srl
Immobiliare Horizon srl
Alma CIS srl
Florian Group SpA
Delponte Ivan
Fantino Costruzioni SpA
CSG Costruzioni srl
PM Barbaglia srl
Nuova Edil Pernate srl
Tecnica Restauri srl
Primula Costruzioni srl
Murri Costruzioni srls
Mattioda Pierino & Figli SpA
ISI Costruzioni Generali srl
Olivieri Costruzioni Generali srl
ICEG snc di Gallo Giuseppe & Figli
Ciga Costruzioni srl
TK srl
Frola Group Costruzioni
ICR Costruzioni srl
La Gustavo sas di Di Gangi Davide & C
Frua Immobiliare srl
Aedes sas di Buglione Fiorella & C
Immobiliare Santarosa srl
Mecchia Mauro
Cogedil srl
Natural House
ARC Antonio Ribaudo Costruzioni srl
Che Sole srl
Gruppo Dimensione SpA
MPM Costruzioni srl
F.lli Prevja srl
Grassia Costruzioni srl
JCS Costruzioni srl
PGA Immobiliare srl
Rosso Enzo e F.lli Costruzioni Edili snc
Edil Casula srl
Saccir SpA
Imprendo Italia srl
Vema srl
Tre C Manta srl
Gruppo Tecnoimprese srl
Pace Costruzioni srl
Dicearco Costruzioni srl
Modularee
Studio Oikos srl
MIT srl
Siteco scarl
RR snc di Bollito e Carullo
Schiavo srl
VGS Costruzioni
ErrePi srl
Dussmann Service Italia
Cornaglia F.lli srl
Gruppo Piotto srl
Vanzetti Costruzioni srl
Sinfonia Costruzioni srl
Sipal SpA
Inc SpA
Sacyr S.A
Palissandro Marmi srl
Marengo Costruzioni srl
Impresapiemonte srl
Effepi Costruzioni srl
Perino Piero srl
Giordano Costruzioni srl
Effettotetto snc
Rinaudo Costruzioni di Rinaudo Francesco & C snc
Edilmont sas
Lo Presti Costruzioni
Airoldi Costruzioni srl
Gabrini e Lepore sas
Bertini Costruzioni srl
SolHouse snc
Talpo Massimo Costruzioni
Simonotti Franco Costruzioni srl
ICT srl
Raso Michele
ICEET srl
DRC Costruzioni Generali srl
Edil LoGa srl
Edil Alta srl
Lovera & Aime sas
Mondavi Costruzioni Bra
Le Verne srl
FIDES srl
Centauro Group
Beton Scavi srl
Costruzioni Imm.re Piemonte srl
Branda srl
Martignon Costruzioni di Martignon Gabriele sas
Impresa Edile Marchisio di Marchisio Renato & C
Caselli Massimo Impresa Edile
Edil Pro Group
Edil Pitture srl
GT Costruzioni srls
Bertini srl
Casetta Costruzioni srl
Martinetto Costruzioni srl
AREA Costruzioni SpA
Agos srl
Donizzetti 85 snc
Terra Costruzioni srl
UNYCA srl
Taricco Costruzioni srl
Bertone Costruzioni srl
Consorzio CIDIS
Costantino Costruzioni Edili srl
Crisma Costruzioni
Impresa Mete Antonio
DueB Costruzioni srl
Macchia srl
Abita Costruzioni srl
Impregest srl
Mulè Rosario & Figli srl
Selva Mercurio srl
Fabrizio Taricco Costruzioni srl
Impredil di Giuliano Giuseppe & C sas
La Favorita srl
Costanzo srl
Devi Impianti srl
Edilpiemonte srl
Coppa Costruzioni srl
Guarnieri Costruzioni Edili sas
Stepa srl immobiliare
Promicasa srl
Masec srl
Cogeor srl
Costruttori Qualificati srl
Fracti Costruzioni srl
Fenix Consorzio Stabile scarl
Consorzio Stabile Energos
PaREd srl
Essemme srl
La Fenice srl
Edil Stone Immobiliare srl
Seven srl
MIRO srl Costruzioni Edili
Senna Costruzioni srl
Scotta srl
Valori Consorzio Stabile scarl
Intercostruzioni SpA
Green Life srl
Bonarrigo Costruzioni srl
aggiudicato a seguito di accordo quadro con Invitalia.
SOGECO srl
Giugliano Costruzioni Metalliche srl
Palingeo srl
Gruppo La Rocca srl
Elle BI VI Costruzioni srl
COIFA srl
Romano Costruzioni & C srl - Gruppo Romano
Neglia Costruzioni srl
Cornaglia Fratelli srl
DAM sas di Scabin Luigino & C
Morabito Costruzioni
Bagarello snc
ERDE srl
Mautino Armando & C snc
EdilGallo Costruzioni srl
Antonio Viglietti & Figlio srl
Franchino Costruzioni srl
Fanutza Costruzioni srl
Cogeas srl
Veli Murrani
Bianchi Costruzioni sas di Bianchi geom Carlo e C
Costruzioni Sara srl
integrato per la progettazione esecutiva e realizzazione
ML Costruzioni di Leotta Marco
Bernardi Costruzioni di Bernardi Davide
integrato per progettazione esecutiva e
Artedil snc di Trossello e Cesare & C
G Quadro Impianti srl
Cobar SpA
EDIL COIM srl
Met srl
MEA srls
RGM di Raso Rosario & C sas
Santina Angiolino & C srl
FIBE srl
Ortoncelli Costruzioni srl
Gemina srl
One Way srl
CGV Costruzioni Generali Valdostane srl
CoMar srl
Iso Costruzioni sas
Nuova Siet SpA
Casanuova srl
Nota Claudio
GL Costruzioni srl
FabioLovisolo Impresa Edile
Carlotta Case srl
Tecno Costruzioni srl
Giuggia Costruzioni srl
SGM Edile srl
Francesco Romano srl
Immobiliare Caligaris sas di carlo Caligaris & C
Gorizia 10 srl
Merlin Costruzioni srl
Artusio Costruzioni srl
Vallemme Costruzioni snc
Edil Costruzioni srl
Domusfausta srl
AMIC Costruzioni srl
Costruzioni Edili Ferrò srl
Sama srl
Marchioro Maurizio Costruzioni Edili
Costruzioni Edil Deca srl
Benedetto F. Costruzioni srl
Progettoidea srl
Medil srl Costruzioni Generali
FLP Costruzioni srl
Cavallaro Costruzioni
CEAR Consorzio Edili Artigiani Ravenna Soc.
Impiantistica Di Sabba Lazzaro & C Srl
Europosa Costruzioni srl
Il Casolare srl
Ingegneria & Costruzioni srl
Consorzio Integra Società Cooperativa
Cires Società Cooperativa
Seep Bo srl
Le Case di Foschi
Tassi Group Holding srl
CEI - Costruzioni Edilizie Imolesi
Ter Costruzioni srl
Akno Buildings srl
Costruzioni Ferrari Sgavetti srl
Tosi Immobiliare
Orlandi Maurizio srl
Oasi srl
TBR Costruzioni Generali
Ghirlandina Buildings srl
Tazzioli e Magnani srl
Merighi srl
SOGEI srl
SEI Sistemi Edili Integrati srl
Edil P3 srl
Bononia Holding srl
Arcadue Immobiliare srl
Gruppo Ritmo srl
Balestri Srl
Olivucci Enea Srl
Consorzio Stabile Poliedro
Consorzio Zenit Soc. Coop.
Housingest Network Srl
Stirparo Costruzioni srl
Edilcasa Soc.Coop
Conscoop - Cons. Cooperative Produzione e Lavoro
Enogas Srl
Edil Costruzioni Modenese srl
Gruppo Dipierri SpA
Edilsamos srl
Renato Monica srl
Minoccheri srl
Molinella Costruzioni srl
Modulo Costruzioni
Impresa ing.Marchesini srl
BSB Edilizia snc di Bonfanti Enrico & C.
DB Consulting srl
integrato aggiudicato alle imprese segnalate riunite in
Consorzio Stabile Costruendo srl
Budrio Due Costruzioni srl
Smat Due di Massimo Tassinari & C. srl
Impresa Edile Calori
Matteini Home srl
Alco Costruzioni srl
ICOED srl Unipersonale
Man Buildings Srl
Massari Group srl
Bolognesi Vittorio & C. sas
San Giacomo srl
Rgm New srl
Telloli Gianluca
Rossi e Signaroldi Costruzioni srl
Sercal Costruzioni srl
Classe A srl
Immobiliare Malatesta srl
Sartori Costruzioni srl
Tecnocem srl
Parthenia Costruzioni srl
Samoter del geom.Munno Antonio
MG Costruzioni srl
Happy Village srl
CIAB Cooperativa Idrici ed Affini
RH Builder SpA
aggiudicato all'impresa segnalata che ha offerto il ribasso del 8%.
Ingegneria Emiliana
Moma srl
Cams Servizi Edili srl
F.lli B System Srl
Edilvaltidone srl
Ausa Costruzioni srl
Abitare Villanova srl
Immobiliare Cremonini srl
Scaramuzza Fabrizio srl
Consorzio Stabile RCR
integrato aggiudicato all'impresa segnalata. Progetto esecutivo
MA Costruzioni Impianti srl
integrato aggiudicato
Antonelli Edilizia srl
Bucci SpA
FraLuRo Costruzioni Generali Srl
SX srl
In Casa RE srl
Decostile
Impresa Edile Medri Renzo & C. snc
Aspen srl
Buozzi & C. Costruzioni srl
Frignani Costruzioni srl
Edilizia Anacleto di Anacleto A&C snc
Lacky Impianti Tecnologici srl
Ciuffreda Group srl
Scandia Costruzioni srl
Immobiliare Rossano srl
Andria s.coop.rl
VRM Costruzioni srl
Immobiliare Borgo Spina srl
BDM Costruzioni di Daracchi srl
Impresa Costruzioni Ing. Enrico Pasqualucci srl
Immobiliare Irene srls
Venturelli Romolo Srl
Agalmata srl
Next Design Group srl
Mar Bell srl
Galileo srl
Impresa Edile Monfredini di Monfredini Geom. Carlo
Clea SC - Impresa Cooperativa di Costruzioni
Safim srl
Stylcasa srl
Safer srl
Chiastra & Pattera Costruzioni srl
F&F Costruzioni Generali
Schibuola Costruzioni srl
Fa 10 Srl
Edil F.lli Leto snc
Nous costruzioni srl
Camia Costruzioni srl
Lacchei Impresa Edile
Residenza Piave srl
Estense Costruzioni
Costruzioni Iris srl
La Concordia Costruzioni srl
CMCF Soc. Coop. Muratori Cementisti Faenza
DM Costruzioni srl
Romagnoli Costruzioni Edili srl
Home Immobili srl
Research Consorzio Stabile scarl
Bibiemme Srls
RT Costruzioni
R.Z. srl
Ambroedil di Ambrosio Antonio
B Impianti Elettrici srls
Consorzio CAIEC soc coop arl
LUVA srl
Albieri srl
Frascari Ferruccio SpA
Impresa Baldi Alfiero
Valbonetti Costruzioni srl
Costruzioni Borelli
Costruire Bio
Edifica srl
Edilcraft srl
Ab Carpentier srl
Due Laghi srl
Pompili Daniele
"integrato aggiudicato, tramite Invitalia, alle"
Aedinovis Srl
Edilfidenza Due Coop.s.coop.a rl
Arcadia Immobiliare srl
integrato aggiudicato all'impresa segnalata che ha indicato i
I Platani srl
Gazzoni srl
Costruzioni DM srl
Beta srl
Progetto Edile srl
VF Costruzioni e Restauri srl
Scientia srl
Rocar Costruzioni srl
integrato aggiudicato all'impresa segnalata
Planeta srl
Esra srl
Impresa Zanardi srl
CGA Costruzioni Generali Appennino srl
Edilpiù di Vaccari Emerenzio & C Snc
Studio Qualità Immobiliare srl
Immobiliare Due Fonti srl
Morelli 19 srl
Oceania Immobiliare sas di Braccio Giuseppe
Quattoli Giacomo Costruzioni Edili srl
SB Gestioni snc
Immobiliare Valconca snc
Attiva Costruzioni srl
Acea Costruzioni SpA
Immobiliare Le Querce srl
Sogei srl
Emiliana Scavi srl
Classe Immobiliare srl
Consorzio COCER
Mami Costruzioni srl
Edili Benatti snc
Unicrea srls
CAMAR Società Cooperativa
Croci Costruzioni srl
Edilbelli srl
Karintia srl
Dolci Ezio
P & C Costruzioni srl
Rico Costruzioni srl
Effe-Gi Impianti Srl
Immobiliare Farnese srl
La Pieve Domus
Bernardi Sergio Srl
Tovoli Primo Srl
Costruzioni Il Paese srl
Geo Costruzioni srl
Poldo srl
Cooperativa Edilizia San Martino
Zanon Prefabbricati
IOLA Costruzioni srl
Garc SpA
